Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
Europe,Ireland,None,3/14/20,19.86109831,0.67351802,18.88378775,2.124993798,0.136305021,0.07298357,0.074294113,3.016592553,0.642766576,0.317896914,99.34547315,1.006379673
Asia,Israel,None,3/12/20,15.34842704,6.276677722,0.457474519,11.09752154,0.120695726,0.017233554,0.131418848,2.307132294,0.045368438,1.785599668,91.77086824,1.447427607
Europe,Italy,None,2/23/20,30.20730155,1.440632348,0.026516097,1.483507988,0.225463853,0.151207411,0.034346862,18.82786689,4.520278315,1.401576301,98.98944763,0.875501994
Africa,Jamaica,None,4/15/20,4.960033206,0.260602598,0.28172507,0.183465192,0.508996947,0.007963531,0.153282425,0.239917945,1.545532597,3.942218019,56.58810239,2.447210291
Asia,Japan,None,2/21/20,20.64039809,2.102783256,14.7475462,2.305832194,0.052153967,0.058719877,0.002942017,0.003742824,0.000493939,3.137755741,121.2527492,1.306891658
Asia,Jordan,None,3/22/20,17.73317796,0.952057955,-488.7656857,0.058148636,1.812775062,0.011113847,0.362905883,0.002361473,0.707348311,0.938353871,91.72821595,1.417673938
Asia,Kazakhstan,None,3/26/20,20.01070953,0.485880865,-1.87961269,0.066447444,0.228323094,0.005591653,0.262818309,0.169890221,3.834125372,5,93.55461372,3.334538535
Africa,Kenya,None,4/2/20,12.28503084,1.185133279,-78.08715549,0.201745771,1.281668679,0.032255348,0.176029023,0.001831299,0.285561743,0.204792591,82.59909643,0.630110956
Asia,"Korea, South",None,2/20/20,9.953553827,0.224323169,0.36850011,0.007057793,0.054585522,0.025408133,0.137960504,26.55282082,16.89528977,0.086555911,121.0202991,0.822995248
Europe,Kosovo,None,3/31/20,28.1734422,1.428107116,-42.8263359,0.569161174,5.783813609,0.024886741,0.192156412,0.659498001,0.024501282,1.611586791,83.70360455,2.873729343
Asia,Kuwait,None,3/14/20,25.77167985,2.277426351,-0.061653205,1.089752542,0.342125159,0.008385702,0,0.030618801,0.004921484,0.565217172,102.8094582,0.827720884
Europe,Latvia,None,3/20/20,13.96355167,0.652105321,-315.5365516,0.082804068,0.024761972,0.035208155,0.094021396,1.767528254,0.762607572,0,101.5230799,1.010982297
Asia,Lebanon,None,3/15/20,14.87947453,0.404288056,-701.5061709,0.004979203,3.964850439,0.024652771,0.298902456,0.053424529,1.250911883,0.959261428,96.39599444,1.943380314
Africa,Liberia,None,4/21/20,11.56519174,0.566205005,-272.9131304,0.018458154,3.413836888,0.059721821,0.278349776,0.022665212,0.410567155,0,62.27659695,0.870057326
Africa,Libya,None,5/28/20,16.37524152,1.055931834,-5.135357123,1.915170428,0.080751945,0.03160288,0,1.408660084,0.412371955,0.817692747,23.98072404,1.182383876
Europe,Lithuania,None,3/22/20,4.996913629,1.020662327,-175.7025612,0.255372713,0.047471598,0.04922098,0.113943737,2.788501274,0.86617824,0.873992333,98.16685607,1.093836751
Europe,Luxembourg,None,3/17/20,3.597108314,0.452736919,-535.4853176,0.059973308,0.08480219,0.028876778,0.175010325,16.30643679,0.11486388,5,79.27487282,1.665436626
Africa,Madagascar,None,4/11/20,14.86563725,3.98269026,-4.778174228,2.177201138,0.00551809,0.079211587,0.027102893,0.003753754,0.001672577,0.415380061,71.42611829,0.790979126
Africa,Malawi,None,5/25/20,16.79660278,1.201803593,-12.74075492,1.268273157,0.041362421,0.020680241,0.050320046,1.401303591,0.434235447,1.414234094,25.94688405,0.977285365
Asia,Malaysia,None,3/9/20,25.5889353,0.79365619,-133.8614778,0.177884289,1.610222333,0.01787394,0.456537371,11.9249909,0.017814731,0.310490889,106.2736991,1.073046275
Asia,Maldives,None,4/23/20,8.791918948,0.470812253,6.579311382,0.589699298,0.569025746,0.003705815,0.015630407,0.101906878,2.04472364,1.842107395,58.83346682,1.167439564
Africa,Mali,None,4/12/20,6.164836728,0.883705736,-49.10445629,0.293743937,0.55573177,0.061662636,0.136942596,0.018569961,1.850189424,0,71.47868052,0.992818708
Europe,Malta,None,3/23/20,7.60342692,0.42636165,-280.9235702,0.038452439,0.033503768,0.017327448,0.149104192,0.602410237,0.571181165,0,93.07677849,0.988379282
Africa,Mauritania,None,5/19/20,14.85328156,0.945204986,-11.01046981,0.553034235,0.216952627,0.052293166,0.5,1.034018947,1.096309439,0,33.28524692,0.976133895
Africa,Mauritius,None,3/28/20,2.511532364,0.002611539,-332.380262,45.25335676,0.437684958,0.024970848,0.150336573,1.983118063,0.627406799,0.100066849,85.50622848,0.976668496
North America,Mexico,None,3/19/20,37.19394228,1.361131176,-66.9152701,0.26352638,0.129570306,0.157330798,0.026388562,4.661350336,1.462885508,0.003567414,95.90700378,1.002681775
Europe,Moldova,None,3/23/20,43.60003427,0.431412566,-71.25385762,0.008627591,0.483176906,0.040223694,0.104932449,2.636964462,2.935118897,0,94.96395905,1.010589302
Europe,Monaco,None,6/22/20,3.830110925,0.54001256,-0.421730958,2.999224279,0.036047587,0.007204564,0,0.072001469,0.072003142,0,0,0.992602983
Asia,Mongolia,None,5/16/20,,1.72146062,-3.082295219,5.008491059,0.001123864,0.000188263,0.198872779,0.146054879,0.007938612,1.005454558,31.54652447,0.391630649
Europe,Montenegro,None,3/31/20,10.8791039,0.06761927,-70.57389714,21.01573097,0.043797624,0.023081858,0.05775746,2.387762503,0.210586131,0.100907295,83.02602479,1.000448417
Africa,Morocco,None,3/22/20,25.50998649,0.536241855,-28.0049795,0.211390965,3.288182244,0.028465526,0.303265591,0.112437122,8.370750911,2.818567386,85.04562371,2.339185561
Africa,Mozambique,None,5/11/20,8.646808871,0.535448823,20.06758913,1.227698187,0.069148317,0.009501818,0.200204339,0.049472424,0.179913263,0.433066318,43.1352688,1.138500148
Africa,Namibia,None,6/25/20,,0.907665442,-1.554384634,2.284890792,0.05,0.01,0.200082077,2.22949263,0.432451578,0.020785441,2.862498333,1.400186503
Asia,Nepal,None,5/7/20,19.02929153,3.578705698,-11.14338608,2.075520397,1.372229892,0.002470985,0,1.017105458,0.086004947,0,44.80887064,1.045137014
Europe,Netherlands,None,3/6/20,49.77545981,1.064294249,0.438760634,1.199471787,0.340011225,0.135717523,0.065122468,14.25556584,0.224625051,0.231934428,112.1186825,1.012150599
Oceania,New Zealand,None,3/22/20,28.87418906,24.55699661,-0.006735598,366.5700745,0.062427838,0.0149328,0,8.245868519,0.00174623,1.02697213,87.42116566,1.091462237
North America,Nicaragua,None,5/19/20,10.56904267,0.465873418,0.741347528,0.565153227,0.754348258,0.031618039,0.286114703,2.406779968,0.540740539,1.000113099,35.77497544,1.563534053
Africa,Niger,None,4/3/20,6.781932908,0.244954127,41.40497584,0.020901062,0.058964619,0.075351592,0.227698166,0.00462422,3.073956536,4.198803404,80.10147581,2.531458185
Africa,Nigeria,None,3/29/20,24.92542632,1.043995133,-74.4801883,0.198733737,1.280373159,0.031067533,0.161112637,2.782083999,0.085795482,0.192693983,74.65898282,1.146393304
Europe,North Macedonia,None,3/22/20,23.91139018,0.65331195,-270.5713905,0.038084848,1.299017599,0.059513607,0.113888597,0.301454987,0.780479012,0.960661929,71.67693716,1.41732733
Europe,Norway,None,3/6/20,24.90685443,10.2251962,-24.55820371,9.99368302,0.079870736,0.031124678,0.119029723,15.58306735,0.001761796,1.235631239,108.1257411,1.140716341
Asia,Oman,None,3/26/20,14.39764198,0.729168594,0.046885863,0.170349445,2.14375875,0.00446557,0,0.055073444,0.591041931,0,90.47160373,0.995244365
Asia,Pakistan,None,3/16/20,35.05150156,0.592475213,-7.468942782,0.08861782,1.893844639,0.020844092,0.015139441,0.598400037,5.914725462,0,99.62274186,0.99270594
North America,Panama,None,3/19/20,19.22585242,0.442535049,-1.728097111,0.006328105,6.493369093,0.025463879,0.179725388,6.956902774,0.536711194,0.955200465,94.70899976,1.396993293
South America,Paraguay,None,4/5/20,16.02804002,1.235807379,-52.44051176,0.413542827,2.529026237,0.007336766,0,0.24930086,0.357212958,2.340636009,77.37403799,1.465046471
South America,Peru,None,3/17/20,10.63743296,1.017322734,-1.207602355,0.430703599,0.587489397,0.032040861,0,5.329446981,0.021046457,0,91.77203094,0.771071725
Asia,Philippines,None,3/14/20,27.64496228,0.410262905,0.54291798,0.003736447,6.094074945,0.051391947,0.149242339,13.44666227,5.57586053,0.463826019,102.3460703,2.498530361
Europe,Poland,None,3/14/20,56.69022677,0.757456685,-85.51884233,0.154583019,1.094678523,0.053237424,0.141651176,14.29507905,3.298075535,0.438032277,97.9865279,0.969423639
Europe,Portugal,None,3/13/20,56.41200698,0.328321991,0.199282416,0.033509819,0.260231729,0.043009154,0.028671799,52.68598646,0.056989807,3.674524819,102.324676,1.974404443
Asia,Qatar,None,3/11/20,22.23302207,1.234117104,-0.016232646,0.478017892,0.010974579,0.003479498,0.032954589,0.075184395,0.054269872,0,105.2578828,1.020509119
Europe,Romania,None,3/14/20,45.9499995,0.396969661,0.09774999,0.111221763,0.268336758,0.070605984,0.052849333,18.36619848,0.001296572,1.519704055,94.98131061,3.00733508
Asia,Russia,None,3/17/20,33.99991305,0.972367506,1.573730228,0.505734523,0.056747096,0.020225956,0.105096241,21.78552355,0.199572762,0.326569687,93.37363419,1.584833241
Africa,Rwanda,None,4/4/20,21.62658998,2.157888816,-21.01299384,0.861015618,0.018293135,0.004449148,0.5,0.017612408,0.004304933,0.886559938,79.6030887,1.225487904
Europe,San Marino,None,3/15/20,6.700305082,0.710384469,-0.661572314,0.808546053,27.32526822,0.070715598,0.275235682,0.017287672,0.537789535,0.941859175,79.06599256,1.258824974
Africa,Sao Tome and Principe,None,5/5/20,8.524723129,2.55113058,-0.601929225,4.555643014,0.865238654,0.016948887,0.5,0.113918571,0.028989382,0,48.01772945,1.00116773
Asia,Saudi Arabia,None,3/14/20,27.45647193,0.596351315,-2.341445389,0.12415682,0.044319472,0.013319091,0,13.89297313,0.123633687,0,102.4291391,0.942419106
Africa,Senegal,None,3/26/20,10.6483164,3.011085951,-46.17283066,0.96151752,0.042347115,0.022871031,0,0.1635964,0.287105567,0.126694996,85.95464475,1.190781223
Europe,Serbia,None,3/19/20,37.41310742,0.637522673,0.451154179,0.62517224,3.757803394,0.022055991,0.118897304,6.415680302,2.407248911,1.063281881,98.09063732,0.991712738
Africa,Sierra Leone,None,4/28/20,7.884711747,0.760872414,-45.28787792,0.337830582,7.877283258,0.05036433,0.329986697,2.085758746,0.354795813,0.480361346,54.67469157,1.177742644
