region,t0,policy_before,policy_after,severity_change,direction
US__Missouri,2020-05-16,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Montana,2020-03-15,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Montana,2020-03-24,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
US__Montana,2020-03-26,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Montana,2020-04-27,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Montana,2020-06-02,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
US__Nebraska,2020-03-16,No_Measure,Restrict_Mass_Gatherings,1,tightening
US__Nebraska,2020-03-19,Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,3,tightening
US__Nebraska,2020-04-02,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
US__Nevada,2020-03-16,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Nevada,2020-03-24,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
US__Nevada,2020-03-31,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Nevada,2020-05-10,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__New_Hampshire,2020-03-16,No_Measure,Restrict_Mass_Gatherings_and_Schools_and_Others,5,tightening
US__New_Hampshire,2020-03-27,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__New_Jersey,2020-03-16,No_Measure,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,4,tightening
US__New_Jersey,2020-03-18,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
US__New_Jersey,2020-03-21,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__New_Jersey,2020-06-10,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__New_Mexico,2020-03-12,No_Measure,Restrict_Mass_Gatherings,1,tightening
US__New_Mexico,2020-03-13,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,2,tightening
US__New_Mexico,2020-03-16,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools_and_Others,2,tightening
